Channel_Label,Well_Label,Timestamp,Maximum_Amplitude,Minimum_Amplitude,Peak_to_peak_Amplitude
31,35,284.85552,1.06976744186047e-05,-1.55813953488372e-05,2.62790697674419e-05
31,35,285.12592,1.04651162790698e-05,-1.54651162790698e-05,2.59302325581395e-05
31,35,285.86168,1.22093023255814e-05,-1.2906976744186e-05,2.51162790697674e-05
31,35,285.98208,1.12790697674419e-05,-1.33139534883721e-05,2.4593023255814e-05
31,35,286.9764,1.37790697674419e-05,-1.58720930232558e-05,2.96511627906977e-05
31,35,287.10808,9.7093023255814e-06,-1.5e-05,2.47093023255814e-05
31,35,287.96912,1.17441860465116e-05,-1.72093023255814e-05,2.8953488372093e-05
31,35,288.05696,7.84883720930233e-06,-1.43604651162791e-05,2.22093023255814e-05
31,35,288.9016,1.45348837209302e-05,-1.69186046511628e-05,3.1453488372093e-05
31,35,289.02336,1.07558139534884e-05,-1.54651162790698e-05,2.62209302325581e-05
31,35,290.06368,1.59883720930233e-05,-1.50581395348837e-05,3.1046511627907e-05
31,35,290.1824,1.11627906976744e-05,-1.31395348837209e-05,2.43023255813954e-05
31,35,290.67144,1.44186046511628e-05,-1.44767441860465e-05,2.88953488372093e-05
31,35,290.91824,1.23255813953488e-05,-1.44767441860465e-05,2.68023255813954e-05
31,35,293.93552,1.5e-05,-1.4593023255814e-05,2.9593023255814e-05
31,35,294.02752,1.13372093023256e-05,-1.27325581395349e-05,2.40697674418605e-05
31,35,294.4836,1.08720930232558e-05,-1.59883720930233e-05,2.68604651162791e-05
31,35,294.66888,9.06976744186047e-06,-1.54651162790698e-05,2.45348837209302e-05
31,35,295.67592,1.38372093023256e-05,-1.4593023255814e-05,2.84302325581395e-05
31,35,295.79632,1.09302325581395e-05,-1.22674418604651e-05,2.31976744186047e-05
31,35,296.43008,1.04651162790698e-05,-1.65697674418605e-05,2.70348837209302e-05
31,35,296.71152,1.28488372093023e-05,-1.55813953488372e-05,2.84302325581395e-05
32,35,68.04048,3.8953488372093e-06,-8.95348837209302e-06,1.28488372093023e-05
32,35,234.87096,3.95348837209302e-06,-9.06976744186047e-06,1.30232558139535e-05
33,35,7.86352,7.26744186046512e-06,-1.1046511627907e-05,1.83139534883721e-05
33,35,10.06896,1.68604651162791e-05,-1.26744186046512e-05,2.95348837209302e-05
33,35,16.27784,7.26744186046512e-06,-1.04651162790698e-05,1.77325581395349e-05
33,35,29.48712,1.52906976744186e-05,-1.34302325581395e-05,2.87209302325581e-05
33,35,29.6372,1.52906976744186e-05,-1.37209302325581e-05,2.90116279069767e-05
33,35,41.22048,9.47674418604651e-06,-9.24418604651163e-06,1.87209302325581e-05
